Sentence,NER
leading results in the brussels,O O O O I-MISC
grand prix athletics meeting on friday :,I-MISC I-MISC O O O O O
women 's discus,O O O
1. ilke wyludda ( germany ) 66.60 metres,O I-PER I-PER O I-LOC O O O
2. ellina zvereva ( belarus ) 65.66,O I-PER I-PER O I-LOC O O
3. franka dietzsch ( germany ) 61.74,O I-PER I-PER O I-LOC O O
4. natalya sadova ( russia ) 61.64,O I-PER I-PER O I-LOC O O
5. mette bergmann ( norway ) 61.44,O I-PER I-PER O I-LOC O O
6. nicoleta grasu ( romania ) 61.36,O I-PER I-PER O I-LOC O O
7. olga chernyavskaya ( russia ) 60.46,O I-PER I-PER O I-LOC O O
8. irina yatchenko ( belarus ) 58.92,O I-PER I-PER O I-LOC O O
women 's 100 metres hurdles,O O O O O
1. ludmila engquist ( sweden ) 12.60 seconds,O I-PER I-PER O I-LOC O O O
2. michelle freeman ( jamaica ) 12.77,O I-PER I-PER O I-LOC O O
3. aliuska lopez ( cuba ) 12.85,O I-PER I-PER O I-LOC O O
4. dionne rose ( jamaica ) 12.88,O I-PER I-PER O I-LOC O O
5. brigita bukovec ( slovakia ) 12.95,O I-PER I-PER O I-LOC O O
6. yulia graudin ( russia ) 12.96,O I-PER I-PER O I-LOC O O
7. julie baumann ( switzerland ) 13.36,O I-PER I-PER O I-LOC O O
8. patricia girard-leno ( france ) 13.36,O I-PER I-PER O I-LOC O O
9. dawn bowles ( u.s. ) 13.53,O I-PER I-PER O I-LOC O O
men 's 110 metres hurdles,O O O O O
1. allen johnson ( u.s. ) 12.92 seconds,O I-PER I-PER O I-LOC O O O
2. colin jackson ( britain ) 13.24,O I-PER I-PER O I-LOC O O
3. emilio valle ( cuba ) 13.33,O I-PER I-PER O I-LOC O O
4. sven pieters ( belgium ) 13.37,O I-PER I-PER O I-LOC O O
5. steve brown ( u.s. ) 13.38,O I-PER I-PER O I-LOC O O
6. frank asselman ( belgium ) 13.64,O I-PER I-PER O I-LOC O O
7. hubert grossard ( belgium ) 13.65,O I-PER I-PER O I-LOC O O
8. jonathan n'senga ( belgium ) 13.66,O I-PER I-PER O I-LOC O O
9. johan lisabeth ( belgium ) 13.75,O I-PER I-PER O I-LOC O O
"women 's 5,000 metres",O O O O
1. roberta brunet ( italy ) 14 minutes 48.96 seconds,O I-PER I-PER O I-LOC O O O O O
2. fernanda ribeiro ( portugal ) 14:49.81,O I-PER I-PER O I-LOC O O
3. sally barsosio ( kenya ) 14:58.29,O I-PER I-PER O I-LOC O O
4. paula radcliffe ( britain ) 14:59.70,O I-PER I-PER O I-LOC O O
5. julia vaquero ( spain ) 15:04.94,O I-PER I-PER O I-LOC O O
6. catherine mckiernan ( ireland ) 15:07.57,O I-PER I-PER O I-LOC O O
7. annette peters ( u.s. ) 15:07.85,O I-PER I-PER O I-LOC O O
8. pauline konga ( kenya ) 15:11.40,O I-PER I-PER O I-LOC O O
men 's 100 metres,O O O O
1. dennis mitchell ( u.s. ) 10.03 seconds,O I-PER I-PER O I-LOC O O O
2. donovan bailey ( canada ) 10.09,O I-PER I-PER O I-LOC O O
3. carl lewis ( u.s. ) 10.10,O I-PER I-PER O I-LOC O O
4. ato boldon ( trinidad ) 10.12,O I-PER I-PER O I-LOC O O
5. linford christie ( britain ) 10.14,O I-PER I-PER O I-LOC O O
6. davidson ezinwa ( nigeria ) 10.15,O I-PER I-PER O I-LOC O O
7. jon drummond ( u.s. ) 10.16,O I-PER I-PER O I-LOC O O
8. bruny surin ( canada ) 10.30,O I-PER I-PER O I-LOC O O
men 's 400 metres hurdles,O O O O O
1. derrick adkins ( u.s. ) 47.93 seconds,O I-PER I-PER O I-LOC O O O
2. samuel matete ( zambia ) 47.99,O I-PER I-PER O I-LOC O O
3. rohan robinson ( australia ) 48.86,O I-PER I-PER O I-LOC O O
4. torrance zellner ( u.s. ) 49.06,O I-PER I-PER O I-LOC O O
5. jean-paul bruwier ( belgium ) 49.24,O I-PER I-PER O I-LOC O O
6. dusan kovacs ( hungary ) 49.31,O I-PER I-PER O I-LOC O O
7. calvin davis ( u.s. ) 49.49,O I-PER I-PER O I-LOC O O
8. laurent ottoz ( italy ) 49.61,O I-PER I-PER O I-LOC O O
9. marc dollendorf ( belgium ) 50.36,O I-PER I-PER O I-LOC O O
women 's 100 metres,O O O O
1. gail devers ( u.s. ) 10.84 seconds,O I-PER I-PER O I-LOC O O O
2. gwen torrence ( u.s. ) 11.00,O I-PER I-PER O I-LOC O O
3. merlene ottey ( jamaica ) 11.04,O I-PER I-PER O I-LOC O O
4. mary onyali ( nigeria ) 11.09,O I-PER I-PER O I-LOC O O
5. chryste gaines ( u.s. ) 11.18,O I-PER I-PER O I-LOC O O
6. zhanna pintusevich ( ukraine ) 11.27,O I-PER I-PER O I-LOC O O
7. irina privalova ( russia ) 11.28,O I-PER I-PER O I-LOC O O
8. natalia voronova ( russia ) 11.28,O I-PER I-PER O I-LOC O O
9. juliet cuthbert ( jamaica ) 11.31,O I-PER I-PER O I-LOC O O
"women 's 1,500 metres",O O O O
1. regina jacobs ( u.s. ) 4 minutes 01.77 seconds,O I-PER I-PER O I-LOC O O O O O
2. patricia djate ( france ) 4:02.26,O I-PER I-PER O I-LOC O O
3. carla sacramento ( portugal ) 4:02.67,O I-PER I-PER O I-LOC O O
4. yekaterina podkopayeva ( russia ) 4:04.78,O I-PER I-PER O I-LOC O O
5. margret crowley ( australia ) 4:05.00,O I-PER I-PER O I-LOC O O
6. leah pells ( canada ) 4:05.64,O I-PER I-PER O I-LOC O O
7. sarah thorsett ( u.s. ) 4:06.80,O I-PER I-PER O I-LOC O O
8. sinead delahunty ( ireland ) 4:07.27,O I-PER I-PER O I-LOC O O
"3,000 metres steeplechase",O O O
1. joseph keter ( kenya ) 8 minutes 10.02 seconds,O I-PER I-PER O I-LOC O O O O O
2. patrick sang ( kenya ) 8:12.04,O I-PER I-PER O I-LOC O O
3. moses kiptanui ( kenya ) 8:12.65,O I-PER I-PER O I-LOC O O
4. gideon chirchir ( kenya ) 8:15.69,O I-PER I-PER O I-LOC O O
5. richard kosgei ( kenya ) 8:16.80,O I-PER I-PER O I-LOC O O
6. larbi el khattabi ( morocco ) 8:17.29,O I-PER I-PER I-PER O I-LOC O O
7. eliud barngetuny ( kenya ) 8:17.66,O I-PER I-PER O I-LOC O O
8. bernard barmasai ( kenya ) 8:17.94,O I-PER I-PER O I-LOC O O
men 's 400 metres,O O O O
1. michael johnson ( u.s. ) 44.29 seconds,O I-PER I-PER O I-LOC O O O
2. derek mills ( u.s. ) 44.78,O I-PER I-PER O I-LOC O O
3. anthuan maybank ( u.s. ) 44.92,O I-PER I-PER O I-LOC O O
4. davis kamoga ( uganda ) 44.96,O I-PER I-PER O I-LOC O O
5. jamie baulch ( britain ) 45.08,O I-PER I-PER O I-LOC O O
6. sunday bada ( nigeria ) 45.21,O I-PER I-PER O I-LOC O O
7. samson kitur ( kenya ) 45.34,O I-PER I-PER O I-LOC O O
8. mark richardson ( britain ) 45.67,O I-PER I-PER O I-LOC O O
9. jason rouser ( u.s. ) 46.11,O I-PER I-PER O I-LOC O O
men 's 200 metres,O O O O
1. frankie fredericks ( namibia ) 19.92 seconds,O I-PER I-PER O I-LOC O O O
2. ato boldon ( trinidad ) 19.99,O I-PER I-PER O I-LOC O O
3. jeff williams ( u.s. ) 20.21,O I-PER I-PER O I-LOC O O
4. jon drummond ( u.s. ) 20.42,O I-PER I-PER O I-LOC O O
5. patrick stevens ( belgium ) 20.42,O I-PER I-PER O I-LOC O O
6. michael marsh ( u.s. ) 20.43,O I-PER I-PER O I-LOC O O
7. ivan garcia ( cuba ) 20.45,O I-PER I-PER O I-LOC O O
8. eric wymeersch ( belgium ) 20.84,O I-PER I-PER O I-LOC O O
9. lamont smith ( u.s. ) 21.08,O I-PER I-PER O I-LOC O O
"women 's 1,000 metres",O O O O
1. svetlana masterkova ( russia ) 2 minutes 28.98 seconds,O I-PER I-PER O I-LOC O O O O O
( world record ),O O O O
2. maria mutola ( mozambique ) 2:29.66,O I-PER I-PER O I-LOC O O
3. malgorzata rydz ( poland ) 2:39.00,O I-PER I-PER O I-LOC O O
4. anja smolders ( belgium ) 2:43.06,O I-PER I-PER O I-LOC O O
5. veerle de jaeghere ( belgium ) 2:43.18,O I-PER I-PER I-PER O I-LOC O O
6. eleonora berlanda ( italy ) 2:43.44,O I-PER I-PER O I-LOC O O
7. anneke matthijs ( belgium ) 2:43.82,O I-PER I-PER O I-LOC O O
8. jacqueline martin ( spain ) 2:44.22,O I-PER I-PER O I-LOC O O
women 's 200 metres,O O O O
1. mary onyali ( nigeria ) 22.42 seconds,O I-PER I-PER O I-LOC O O O
2. inger miller ( u.s. ) 22.66,O I-PER I-PER O I-LOC O O
3. irina privalova ( russia ) 22.68,O I-PER I-PER O I-LOC O O
4. natalia voronova ( russia ) 22.73,O I-PER I-PER O I-LOC O O
5. marina trandenkova ( russia ) 22.84,O I-PER I-PER O I-LOC O O
6. chandra sturrup ( bahamas ) 22.85,O I-PER I-PER O I-LOC O O
7. zundra feagin ( u.s. ) 23.18,O I-PER I-PER O I-LOC O O
8. galina malchugina ( russia ) 23.25,O I-PER I-PER O I-LOC O O
women 's 400 metres,O O O O
1. cathy freeman ( australia ) 49.48 seconds,O I-PER I-PER O I-LOC O O O
2. marie-jose perec ( france ) 49.72,O I-PER I-PER O I-LOC O O
3. falilat ogunkoya ( nigeria ) 49.97,O I-PER I-PER O I-LOC O O
4. pauline davis ( bahamas ) 50.14,O I-PER I-PER O I-LOC O O
5. fatima yussuf ( nigeria ) 50.14,O I-PER I-PER O I-LOC O O
6. maicel malone ( u.s. ) 50.51,O I-PER I-PER O I-LOC O O
7. hana benesova ( czech republic ) 51.71,O I-PER I-PER O I-LOC I-LOC O O
8. ann mercken ( belgium ) 53.55,O I-PER I-PER O I-LOC O O
"men 's 3,000 metres",O O O O
1. daniel komen ( kenya ) 7 minutes 25.87 seconds,O I-PER I-PER O I-LOC O O O O O
2. khalid boulami ( morocco ) 7:31.65,O I-PER I-PER O I-LOC O O
3. bob kennedy ( u.s. ) 7:31.69,O I-PER I-PER O I-LOC O O
4. el hassane lahssini ( morocco ) 7:32.44,O I-PER I-PER I-PER O I-LOC O O
5. thomas nyariki ( kenya ) 7:35.56,O I-PER I-PER O I-LOC O O
6. noureddine morceli ( algeria ) 7:36.81,O I-PER I-PER O I-LOC O O
7. fita bayesa ( ethiopia ) 7:38.09,O I-PER I-PER O I-LOC O O
8. martin keino ( kenya ) 7:38.88,O I-PER I-PER O I-LOC O O
men 's discus,O O O
1. lars riedel ( germany ) 66.74 metres,O I-PER I-PER O I-LOC O O O
2. anthony washington ( u.s. ) 66.72,O I-PER I-PER O I-LOC O O
3. vladimir dubrovshchik ( belarus ) 64.02,O I-PER I-PER O I-LOC O O
4. virgilius alekna ( lithuania ) 63.62,O I-PER I-PER O I-LOC O O
5. juergen schult ( germany ) 63.48,O I-PER I-PER O I-LOC O O
6. vassiliy kaptyukh ( belarus ) 61.80,O I-PER I-PER O I-LOC O O
7. vaclavas kidikas ( lithuania ) 60.92,O I-PER I-PER O I-LOC O O
8. michael mollenbeck ( germany ) 59.24,O I-PER I-PER O I-LOC O O
men 's triple jump,O O O O
1. jonathan edwards ( britain ) 17.50 metres,O I-PER I-PER O I-LOC O O O
2. yoelvis quesada ( cuba ) 17.29,O I-PER I-PER O I-LOC O O
3. brian wellman ( bermuda ) 17.05,O I-PER I-PER O I-LOC O O
4. kenny harrison ( u.s. ) 16.97,O I-PER I-PER O I-LOC O O
5. gennadi markov ( russia ) 16.66,O I-PER I-PER O I-LOC O O
6. francis agyepong ( britain ) 16.63,O I-PER I-PER O I-LOC O O
7. rogel nachum ( israel ) 16.36,O I-PER I-PER O I-LOC O O
8. sigurd njerve ( norway ) 16.35,O I-PER I-PER O I-LOC O O
"men 's 1,500 metres",O O O O
1. hicham el guerrouj ( morocco ) three minutes 29.05 seconds,O I-PER I-PER I-PER O I-LOC O O O O O
2. isaac viciosa ( spain ) 3:33.00,O I-PER I-PER O I-LOC O O
3. william tanui ( kenya ) 3:33.36,O I-PER I-PER O I-LOC O O
4. elijah maru ( kenya ) 3:33.64,O I-PER I-PER O I-LOC O O
5. marcus o'sullivan ( ireland ) 3:33.77,O I-PER I-PER O I-LOC O O
6. john mayock ( britain ) 3:33.94,O I-PER I-PER O I-LOC O O
7. laban rotich ( kenya ) 3:34.12,O I-PER I-PER O I-LOC O O
8. christophe impens ( belgium ) 3:34.13,O I-PER I-PER O I-LOC O O
women 's high jump,O O O O
1. stefka kostadinova ( bulgaria ) 2.03 metres,O I-PER I-PER O I-LOC O O O
2. inga babakova ( ukraine ) 2.03,O I-PER I-PER O I-LOC O O
3. alina astafei ( germany ) 1.97,O I-PER I-PER O I-LOC O O
4. tatyana motkova ( russia ) 1.94,O I-PER I-PER O I-LOC O O
5. svetlana zalevskaya ( kazakhstan ) 1.91,O I-PER I-PER O I-LOC O O
6. yelena gulyayeva ( russia ) 1.88,O I-PER I-PER O I-LOC O O
7. hanna haugland ( norway ) 1.88,O I-PER I-PER O I-LOC O O
8 equal .,O O O
olga boshova ( moldova ) 1.85,I-PER I-PER O I-LOC O O
8 equal .,O O O
nele zilinskiene ( lithuania ) 1.85,I-PER I-PER O I-LOC O O
"men 's 10,000 metres",O O O O
1. salah hissou ( morocco ) 26 minutes 38.08 seconds ( world,O I-PER I-PER O I-LOC O O O O O O O
record ),O O
2. paul tergat ( kenya ) 26:54.41,O I-PER I-PER O I-LOC O O
3. paul koech ( kenya ) 26:56.78,O I-PER I-PER O I-LOC O O
4. william kiptum ( kenya ) 27:18.84,O I-PER I-PER O I-LOC O O
5. aloys nizigama ( burundi ) 27:25.13,O I-PER I-PER O I-LOC O O
6. mathias ntawulikura ( rwanda ) 27:25.48,O I-PER I-PER O I-LOC O O
7. abel anton ( spain ) 28:18.44,O I-PER I-PER O I-LOC O O
8. kamiel maase ( netherlands ) 28.29.42,O I-PER I-PER O I-LOC O O
9. worku bekila ( ethiopia ) 28.42.23,O I-PER I-PER O I-LOC O O
10. robert stefko ( slovakia ) 28:42.26,O I-PER I-PER O I-LOC O O
-docstart-,O
soccer - jorge calls up six porto players for world cup qualifier .,O O I-PER O O O I-ORG O O I-MISC I-MISC O O
lisbon 1996-08-23,I-LOC O
portugal 's new coach artur jorge called up six players from league champions porto on friday in an 18-man squad for the opening world cup qualifier against armenia on august 31 .,I-LOC O O O I-PER I-PER O O O O O O O I-ORG O O O O O O O O O I-MISC I-MISC O O I-LOC O O O O
"midfielder paulo sousa , recently transferred to borussia dortmund from italy 's juventus , is the only leading member of the portuguese side from this year 's european championships who will not make the trip .",O I-PER I-PER O O O O I-ORG I-ORG O I-LOC O I-ORG O O O O O O O O I-MISC O O O O O I-MISC O O O O O O O O
"it will be jorge 's first game in charge of the national squad since taking over from antonio oliveira , who now coaches porto , at the end of euro 96 .",O O O I-PER O O O O O O O O O O O O O I-PER I-PER O O O O I-ORG O O O O O I-MISC I-MISC O
squad :,O O
"goalkeepers - vitor baia , rui correia .",O O I-PER I-PER O I-PER I-PER O
"defenders - jorge costa , paulinho santos , helder cristovao , carlos secretario , dimas teixeira , fernando couto .",O O I-PER I-PER O I-PER I-PER O I-PER I-PER O I-PER I-PER O I-PER I-PER O I-PER I-PER O
"midfielders - jose barroso , luis figo , rui barros , rui costa , oceano cruz , ricardo sa pinto .",O O I-PER I-PER O I-PER I-PER O I-PER I-PER O I-PER I-PER O I-PER I-PER O I-PER I-PER I-PER O
"forwards - domingos oliveira , joao vieira pinto , jorge cadete , antonio folha .",O O I-PER I-PER O I-PER I-PER I-PER O I-PER I-PER O I-PER I-PER O
-docstart-,O
soccer - vogts keeps faith with euro ' 96 champions .,O O I-PER O O O I-MISC I-MISC I-MISC O O
bonn 1996-08-23,I-LOC O
"trainer berti vogts kept faith with his entire european championship winning squad for germany 's first match since their title victory , a friendly in poland .",O I-PER I-PER O O O O O I-MISC O O O O I-LOC O O O O O O O O O O O I-LOC O
vogts picked no new players for the squad for the september 4 game in zabrze .,I-PER O O O O O O O O O O O O O I-LOC O
"instead on friday he nominated all 23 euro ' 96 veterans including bremen 's jens todt , called up before the final by special uefa dispensation .",O O O O O O O I-MISC I-MISC I-MISC O O I-ORG O I-PER I-PER O O O O O O O O I-ORG O O
"he will , however , have to do without the dortmund trio of libero matthias sammer , midfielder steffen freund and defender rene schneider , who were all formally nominated despite being injured .",O O O O O O O O O O I-ORG O O O I-PER I-PER O O I-PER I-PER O O I-PER I-PER O O O O O O O O O O
""" this squad is currently the basis of my planning for the 1998 world cup , "" vogts said . """,O O O O O O O O O O O O O I-MISC I-MISC O O I-PER O O O
"we 'll have to see which other players produce good league performances to play themselves into the squad . """,O O O O O O O O O O O O O O O O O O O O
squad :,O O
"goalkeepers - oliver kahn , andreas koepke , oliver reck",O O I-PER I-PER O I-PER I-PER O I-PER I-PER
"defenders - markus babbel , thomas helmer , juergen kohler , stefan reuter , matthias sammer , rene schneider",O O I-PER I-PER O I-PER I-PER O I-PER I-PER O I-PER I-PER O I-PER I-PER O I-PER I-PER
"midfielders - mario basler , marco bode , dieter eilts , steffen freund , thomas haessler , andreas moeller , mehmet scholl , thomas strunz , jens todt , christian ziege",O O I-PER I-PER O I-PER I-PER O I-PER I-PER O I-PER I-PER O I-PER I-PER O I-PER I-PER O I-PER I-PER O I-PER I-PER O I-PER I-PER O I-PER I-PER
"forwards - oliver bierhoff , fredi bobic , juergen klinsmann , stefan kuntz .",O O I-PER I-PER O I-PER I-PER O I-PER I-PER O I-PER I-PER O
-docstart-,O
"soccer - european cup draws for aek , olympiakos , pao .",O O I-MISC I-MISC O O I-ORG O I-ORG O I-ORG O
athens 1996-08-23,I-LOC O
following are the european soccer,O O O I-MISC O
draws for the uefa cup and the cup 's winners cup involving greek,O O O I-ORG O O O O O O O O I-MISC
teams that took place today in geneva :,O O O O O O I-LOC O
x-aek athens ( greece ) v chemlon humenne ( slovakia ),I-ORG I-ORG O I-LOC O O I-ORG I-ORG O I-LOC O
x-olympiakos v ferencvaros ( hungary ),I-ORG O I-ORG O I-LOC O
x-pao v legia warsaw ( poland ),I-ORG O I-ORG I-ORG O I-LOC O
x indicates seeded teams .,O O O O O
"-- dimitris kontogiannis , athens newsroom +301 3311812-4",O I-PER I-PER O I-ORG I-ORG O O
-docstart-,O
soccer - euro club competition first round draws .,O O I-MISC O O O O O O
geneva 1996-08-23,I-LOC O
draws for the first round of the european club soccer competitions made on friday ( x denotes seeded team ) :,O O O O O O O I-MISC O O O O O O O O O O O O O
uefa cup lyngby ( denmark ) v x-club brugge ( belgium ) casino graz ( austria ) v ekeren ( belgium ) besiktas ( turkey ) v molenbeek ( belgium ) alania vladikavkaz ( russia ) v x-anderlecht ( belgium ),I-MISC I-MISC I-ORG O I-LOC O O I-ORG I-ORG O I-LOC O I-ORG I-ORG O I-LOC O O I-ORG O I-LOC O I-ORG O I-LOC O O I-ORG O I-LOC O I-ORG I-ORG O I-LOC O O I-ORG O I-LOC O
cup winners ' cup x-cercle brugge ( belgium ) v brann bergen ( norway ),I-MISC I-MISC I-MISC I-MISC I-ORG I-ORG O I-LOC O O I-ORG I-ORG O I-LOC O
-docstart-,O
cricket - sri lanka and australia say relations have healed .,O O I-LOC I-LOC O I-LOC O O O O O
colombo 1996-08-23,I-LOC O
sri lanka and australia agreed on friday that relations between the two teams had healed since the sri lankans ' acrimonious tour last year .,I-LOC I-LOC O I-LOC O O O O O O O O O O O O O I-MISC I-MISC O O O O O O
the sri lankans were first found guilty then cleared of ball tampering and off-spinner muttiah muralitharan was called for throwing during a controversial three-test series in australia .,O I-MISC I-MISC O O O O O O O O O O O I-PER I-PER O O O O O O O O O O I-LOC O
""" our concern is to get out there and play proper cricket , "" sri lanka captain arjuna ranatunga told a news conference on the eve of a warmup match between the world cup champions and a world xi team scheduled for saturday .",O O O O O O O O O O O O O O I-LOC I-LOC O I-PER I-PER O O O O O O O O O O O O O I-MISC I-MISC O O O I-ORG I-ORG O O O O O
""" what happened is history . """,O O O O O O O
australian team manager cam battersby said he agreed with ranatunga .,I-MISC O O I-PER I-PER O O O O I-PER O
""" i believe relations between the two teams will be excellent , "" batterby said .",O O O O O O O O O O O O O I-PER O O
the australians are making their first visit to the indian ocean island since boycotting a world cup fixture in february after a terrorist bomb in colombo .,O I-MISC O O O O O O O I-LOC I-LOC O O O O I-MISC I-MISC O O O O O O O O I-LOC O
"australia have been promised the presence of commandos , sniffer dogs and plainclothes policemen to ensure a limited overs tournament is trouble-free .",I-LOC O O O O O O O O O O O O O O O O O O O O O O
"the tournament , starting on august 26 , also includes india and zimbabwe .",O O O O O O O O O O I-LOC O I-LOC O
battersby said he was satisfied with the security arrangements .,I-PER O O O O O O O O O
sri lankan officials said they expected heavy rain which washed out a warmup match on friday should cease by saturday .,I-MISC I-MISC O O O O O O O O O O O O O O O O O O O
"australia , led by wicketkeeper ian healy , opened their short tour of sri lanka with a five-run win over the country 's youth team on thursday .",I-LOC O O O O I-PER I-PER O O O O O O I-LOC I-LOC O O O O O O O O O O O O O
-docstart-,O
press digest - angola - aug 23 .,O O O I-LOC O O O O
luanda 1996-08-23,I-LOC O
these are the leading stories in the angolan press on friday .,O O O O O O O I-MISC O O O O
reuters has not verified these stories and does not vouch for their accuracy .,I-ORG O O O O O O O O O O O O O
- - - -,O O O O
jornal de angola,I-ORG I-ORG I-ORG
- the angolan chief of state addressed a letter to un security council proposing dates for the conclusion of the peace process in angola .,O O I-MISC O O O O O O O I-ORG I-ORG I-ORG O O O O O O O O O O I-LOC O
"he proposed definite dates , august 25 for return of unita generals to the joint army , september 5 for the beginning of the formation of the government of national unity and reconciliation .",O O O O O O O O O O I-ORG O O O O O O O O O O O O O O O O I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O
"until this date the free circulation of peoples and goods should be guaranteed , the government administration installed in all areas and the unita deputies should occupy their places in the national assembly .",O O O O O O O O O O O O O O O O O O O O O O O I-ORG O O O O O O O I-ORG I-ORG O
"the president justified his proposal by the delays verified in the peace process , including the fact that areas under unita control or occupation have not been effectively demilitarised , where the unita military forces have been substituted by their so-called police .",O O O O O O O O O O O O O O O O O O O O I-ORG O O O O O O O O O O O I-ORG O O O O O O O O O O
"- president dos santos proposes the establishment by un security council of definitive and final timetable for the tasks and obligations under the lusaka agreement and the sending of a mission of sc , as soon as possible , to supervise the execution of the agreement .",O O I-PER I-PER O O O O I-ORG I-ORG I-ORG O O O O O O O O O O O O I-MISC I-MISC O O O O O O O I-ORG O O O O O O O O O O O O O O
-docstart-,O
forecast - s.african company results consensus .,O O I-MISC O O O O
johannesburg 1996-08-23,I-LOC O
analysts estimates of major,O O O O
south african company results expected next week include the,I-MISC I-MISC O O O O O O O
following ( all figures cents per share ) :,O O O O O O O O O
day--company----period--consensus----range-------pvs,O
mon gencor yr eps 93.12 92.0-94.5 73.8,O I-ORG O O O O O
mon gencor yr div 25.75 25.0-27.0 20.0,O I-ORG O O O O O
mon primedia yr eps n / a 149.1,O I-ORG O O O O O O
mon primedia yr div n / a 123.2,O I-ORG O O O O O O
mon distillers yr eps n / a 71.8,O I-ORG O O O O O O
mon distillers yr div n / a 49.0,O I-ORG O O O O O O
tue iscor yr eps 29.7 26.0-32.0 38.0,O I-ORG O O O O O
tue iscor yr div 15.0 14.5-16.5 16.5,O I-ORG O O O O O
tue mccarthy yr eps 125.3 112.0-149.0 93.2,O I-ORG O O O O O
tue mccarthy yr div 36.8 32.0-43.0 28.0,O I-ORG O O O O O
wed imphold yr eps 172.7 170.4-175.0 115.1,O I-ORG O O O O O
wed imphold yr div 67.5 66.6-68.4 45.0,O I-ORG O O O O O
thu m&r yr eps 113.0 112.1-113.4 126.0,O I-ORG O O O O O
thu m&r yr div 31.7 10.5-42.3 47.0,O I-ORG O O O O O
thu jd group yr eps 143.7 138.0-149.0 111.2,O I-ORG I-ORG O O O O O
thu jd group yr div 41.8 41.0-42.5 33.0,O I-ORG I-ORG O O O O O
oooooo,O
"-- johannesburg newsroom , +27 11 482 1003",O I-LOC O O O O O O
-docstart-,O
ulster petroleums ltd q2 net profit falls .,I-ORG I-ORG I-ORG O O O O O
calgary 1996-08-23,I-LOC O
1996 1995,O O
shr c$ 0.04 c$ 0.08,O I-MISC O I-MISC O
"net 1,196 2,232",O O O
cash flow / shr 0.39 0.41,O O O O O O
"revs 20,167 18,623",O O O
6 months,O O
shr c$ 0.12 c$ 0.15,O I-MISC O I-MISC O
"net 3,674 4,271",O O O
cash flow / shr 0.86 0.81,O O O O O O
"revs 41,752 35,711",O O O
( all data above 000s except per share numbers ),O O O O O O O O O O
-- reuters toronto bureau 416 941-8100,O I-ORG I-ORG I-ORG O O
-docstart-,O
nigerian terms jeopardize commonwealth trip-canada .,I-MISC O O I-ORG I-MISC O
ottawa 1996-08-23,I-LOC O
"commonwealth ministers concerned about human rights in nigeria may cancel a planned trip there because of government restrictions on their mission , canadian foreign minister lloyd axworthy said on friday .",I-ORG O O O O O O I-LOC O O O O O O O O O O O O O O I-MISC O O I-PER I-PER O O O O
""" the reaction of the regime there is such that many of us feel that the mission under the present circumstances should n't go ahead , "" axworthy said .",O O O O O O O O O O O O O O O O O O O O O O O O O O O I-PER O O
"commonwealth foreign ministers will meet in london on wednesday to discuss what to do , he added .",I-ORG O O O O O I-LOC O O O O O O O O O O O
-docstart-,O
mid-tier golds up in heavy trading .,O O O O O O O
toronto 1996-08-23,I-LOC O
"investors gave into gold fever friday morning , with heavy trading in a handful of toronto-based gold companies .",O O O O O O O O O O O O O O O I-MISC O O O
"tvx gold inc was up c$ 0.30 to c$ 11.55 in trading of 780,000 shares , while kinross gold corp gained c$ 0.25 to c$ 11 in volume of 720,000 shares .",I-ORG I-ORG I-ORG O O I-MISC O O I-MISC O O O O O O O O I-ORG I-ORG I-ORG O I-MISC O O I-MISC O O O O O O O
"and scorpion minerals inc , a junior gold exploration company with five indonesian mining properties , was up c$ 0.50 to c$ 6 , with about 120,000 shares changing hands .",O I-ORG I-ORG I-ORG O O O O O O O O I-MISC O O O O O I-MISC O O I-MISC O O O O O O O O O
"tvx and kinross rose after recent buy recommendations from u.s. brokers , analysts said .",I-ORG O I-ORG O O O O O O I-LOC O O O O O
but scorpion was raising a lot of eyebrows after it issued a release friday morning saying it was not aware of any developments that could have affected the stock .,O I-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"the company was formed this year and a couple of analysts have been on their properties , said one analyst .",O O O O O O O O O O O O O O O O O O O O O
exploration results are expected soon .,O O O O O O
-- reuters toronto bureau 416 941-8100,O I-ORG I-ORG I-ORG O O
-docstart-,O
research alert - unitog co upgraded .,O O O I-ORG I-ORG O O
- barrington research associates inc said friday it upgraded unitog co to a near-term outperform from a long-term outperform rating .,O I-ORG I-ORG I-ORG I-ORG O O O O I-ORG I-ORG O O O O O O O O O O
- analyst alexander paris said he expected consistent 20 percent earnings growth after an estimated gain of 18 percent for 1996 .,O O I-PER I-PER O O O O O O O O O O O O O O O O O O
"- the stock closed unchanged at 27 , down from a recent high of 30 .",O O O O O O O O O O O O O O O O
"-- chicago newsdesk , 312-408-8787",O I-LOC O O O
-docstart-,O
buffett raises property capital stake .,I-PER O I-ORG I-ORG O O
washington 1996-08-23,I-LOC O
omaha billionaire warren buffett said friday he raised his stake in property capital trust to 8.0 percent from 6.7 percent .,I-LOC O I-PER I-PER O O O O O O O I-ORG I-ORG I-ORG O O O O O O O
"in a filing with the securities and exchnage commission , buffett said he bought 62,900 additional common shares of the boston-based real estate investment trust at prices ranging from $ 7.65 to $ 8.02 a share .",O O O O O I-ORG I-ORG I-ORG I-ORG O I-PER O O O O O O O O O I-MISC O O O O O O O O O O O O O O O O
